id,data,obra,banco,fornecedor,categoria,subcategoria,tipo,natureza,valor,obs,pagador,created_at
3,2025-12-17,Barracao Vere,Cisca,BENDER,SERVIÇOS PRELIMINARES,TAPUME,Direto,Mão de Obra,630.0,ESCORA TAPUME,JF,2026-03-05 18:27:02.507186+00:00
4,2025-12-22,Barracao Vere,Sicredi,GRAFICA,SERVIÇOS PRELIMINARES,PLACA DE OBRA,Direto,Mão de Obra,1080.0,PLACA DE OBRA,RBIM,2026-03-05 18:27:37.849837+00:00
6,2025-12-22,Barracao Vere,Cisca,Não Informado,SERVIÇOS PRELIMINARES,BARRACO,Direto,Mão de Obra,2012.5,MADEIRA BARRACO,JF,2026-03-05 18:28:10.045366+00:00
7,2025-12-22,Barracao Vere,Cisca,Não Informado,SERVIÇOS PRELIMINARES,BARRACO,Direto,Mão de Obra,2000.0,MADEIRITE,JF,2026-03-05 18:29:02.842486+00:00
8,2025-12-22,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,FERRAMENTAS,Indireto (BDI),Equipamento,132.45,FERRAMENTES,RBIM,2026-03-05 18:30:18.648170+00:00
9,2025-12-22,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,FERRAMENTAS,Indireto (BDI),Equipamento,17.56,FERRAMENTAS,RBIM,2026-03-05 18:30:43.746107+00:00
10,2025-12-22,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,ALIMENTAÇÃO,Indireto (BDI),Material,55.0,ALIMENTAÇÃO,RBIM,2026-03-05 18:32:11.188586+00:00
11,2025-12-22,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,ALIMENTAÇÃO,Indireto (BDI),Material,70.0,ALIMENTAÇÃO,RBIM,2026-03-05 18:32:41.334876+00:00
12,2025-12-22,Barracao Vere,Sicredi,Não Informado,CUSTOS ADMINISTRATIVOS,ART,Administrativo,Material,271.47,ART,RBIM,2026-03-05 18:33:44.758452+00:00
13,2025-12-22,Barracao Vere,Cisca,Não Informado,CUSTOS INDIRETOS,COMBUSTÍVEL,Indireto (BDI),Material,200.0,DIESIL,RBIM,2026-03-05 18:35:03.046509+00:00
14,2025-12-22,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,COMBUSTÍVEL,Indireto (BDI),Material,200.0,COMBUSTIVEL,RBIM,2026-03-05 18:35:34.286147+00:00
15,2026-01-05,Barracao Vere,Cisca,Não Informado,COBERTURA,TELHAS,Direto,Material,3356.4,TELHAS COMPRA DE 23MIL,JF,2026-03-05 18:40:37.420375+00:00
16,2026-01-05,Barracao Vere,Cisca,Não Informado,COBERTURA,TELHAS,Direto,Material,20241.47,TELHA COMPRA,JF,2026-03-05 18:41:14.680371+00:00
17,2026-01-05,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,COMBUSTÍVEL,Indireto (BDI),Material,181.5,DIESEL,RBIM,2026-03-05 18:42:16.561889+00:00
18,2026-01-05,Barracao Vere,Sicredi,Não Informado,SERVIÇOS PRELIMINARES,BARRACO,Direto,Mão de Obra,800.0,MADEIRITE,RBIM,2026-03-05 18:42:38.623668+00:00
19,2026-01-05,Barracao Vere,Sicredi,Não Informado,MÃO DE OBRA,AJUDANTE,Direto,Mão de Obra,150.0,AJUDANTE FIM DE ANO,RBIM,2026-03-05 18:43:05.479807+00:00
20,2026-01-05,Barracao Vere,Cisca,Não Informado,CUSTOS INDIRETOS,FERRAMENTAS,Indireto (BDI),Equipamento,5340.0,BETONEIRA,JF,2026-03-05 18:43:29.830424+00:00
23,2026-01-05,Barracao Vere,Cisca,Não Informado,SERVIÇOS PRELIMINARES,TAPUME,Direto,Material,3200.0,TELHA QUE JA TINHA,JF,2026-03-05 18:47:41.137278+00:00
24,2026-01-05,Barracao Vere,Não Informado,Não Informado,CUSTOS INDIRETOS,HOSPEDAGEM,Indireto (BDI),Material,250.0,HOTEL,RBIM,2026-03-05 18:48:12.110425+00:00
21,2026-01-06,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,ALIMENTAÇÃO,Indireto (BDI),Material,30.0,CARVAO,RBIM,2026-03-05 18:46:37.046171+00:00
22,2026-01-06,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,COMBUSTÍVEL,Indireto (BDI),Material,235.0,COMBUSTIVEL,RBIM,2026-03-05 18:47:13.321810+00:00
25,2026-01-09,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,OUTROS,Direto,Mão de Obra,1240.05,COSAS QUE O ALEXANDRE COMPROU,RBIM,2026-03-05 18:49:40.389239+00:00
26,2026-01-12,Barracao Vere,Cisca,Não Informado,COBERTURA,PARAFUSOS,Direto,Mão de Obra,459.98,PARAFUSOS,JF,2026-03-05 18:50:53.824918+00:00
27,2026-01-12,Barracao Vere,Cisca,Não Informado,INSTALAÇÃO ELÉTRICA,FIAÇÃO,Direto,Material,548.0,FIO E PLUGS,JF,2026-03-05 18:51:31.485557+00:00
28,2026-01-12,Barracao Vere,Sicredi,Não Informado,COBERTURA,PARAFUSOS,Direto,Mão de Obra,200.0,PARAFUSO COBERTURA,RBIM,2026-03-05 18:51:59.950244+00:00
29,2026-01-12,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,FERRAMENTAS,Indireto (BDI),Equipamento,500.0,MAKITA,RBIM,2026-03-05 18:54:12.899143+00:00
30,2026-01-12,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,COMBUSTÍVEL,Indireto (BDI),Material,239.0,DIESEL E OLEO,RBIM,2026-03-05 18:54:37.991029+00:00
31,2026-01-12,Barracao Vere,Sicredi,Não Informado,ALVENARIA,AREIA,Direto,Mão de Obra,627.0,AREIA MEDIA,RBIM,2026-03-05 18:55:41.128472+00:00
32,2026-01-12,Barracao Vere,Sicredi,Não Informado,ALVENARIA,AREIA,Direto,Mão de Obra,379.0,CIMENTO,RBIM,2026-03-05 18:56:16.628287+00:00
33,2026-01-12,Barracao Vere,Sicredi,Não Informado,ESTRUTURA,FERRAGEM,Direto,Material,90.0,FERRO 8MM,RBIM,2026-03-05 18:57:57.238978+00:00
34,2026-01-12,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,FERRAMENTAS,Indireto (BDI),Equipamento,19.23,BALDE,RBIM,2026-03-05 18:58:30.308281+00:00
35,2026-01-12,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,HOSPEDAGEM,Indireto (BDI),Material,750.0,ALUGUEL,RBIM,2026-03-05 18:59:04.332060+00:00
36,2026-01-12,Barracao Vere,Sicredi,Não Informado,COBERTURA,PARAFUSOS,Direto,Mão de Obra,176.81,PARAFUSO,RBIM,2026-03-05 18:59:52.367346+00:00
37,2026-01-12,Barracao Vere,Sicredi,Não Informado,CUSTOS INDIRETOS,FERRAMENTAS,Indireto (BDI),Equipamento,60.0,TRENA,RBIM,2026-03-05 19:00:14.884887+00:00
